source_id,company,title,published_at,url,body
samsung_q2_2026,삼성전자,"삼성전자, 2026년 2분기 실적 발표",2026-07-30,https://news.samsung.com/global/samsung-electronics-announces-second-quarter-2026-results,"삼성전자는 2026년 2분기 연결 매출 171조5천억원, 영업이익 89조5천억원을 기록했다. 매출과 영업이익 모두 분기 기준 최고치를 경신했으며, 전 분기 대비 매출은 28% 증가했다."
samsung_ds_q2_2026,삼성전자,"삼성전자 DS부문, AI 메모리 수요로 실적 확대",2026-07-30,https://news.samsung.com/global/samsung-electronics-announces-second-quarter-2026-results,"삼성전자 DS부문은 2026년 2분기 매출 127조5천억원, 영업이익 89조2천억원을 기록했다. 메모리 사업은 AI 수요에 대응해 서버 제품 중심 판매를 확대했고, 업계 전반의 가격 상승도 실적에 기여했다."
skhynix_q2_2026,SK하이닉스,"SK하이닉스, 2026년 2분기 사상 최대 실적",2026-07-29,https://news.skhynix.com/en/q2-2026-business-results/,"SK하이닉스는 2026년 2분기 매출 79조3187억원, 영업이익 60조5426억원을 발표했다. AI 수요에 대응한 고부가가치 제품 판매가 실적을 이끌었고, 주요 고객과 장기·다년 계약을 확대했다고 설명했다."
hyundai_q2_2026,현대차,"현대차, 2026년 2분기 매출 증가에도 영업이익 감소",2026-07-23,https://www.hyundai.com/worldwide/en/newsroom/detail/0000001234,"현대차의 2026년 2분기 매출은 49조2150억원으로 전년 동기 대비 1.9% 증가했다. 영업이익은 2조8510억원으로 20.8% 감소했고, 글로벌 판매량은 6.9% 줄었다."
hyundai_outlook_2026,현대차,"현대차, 하반기 신차 출시로 회복 추진",2026-07-23,https://www.reuters.com/business/media-telecom/hyundai-motor-reports-21-drop-q2-operating-profit-misses-forecasts-2026-07-23/,현대차는 2분기 영업이익이 감소했지만 연간 전망은 유지했다. 회사는 하반기 투싼과 아반떼 등 주요 신차 출시를 통해 판매 회복을 추진할 계획이라고 밝혔다.
samsungsdi_q2_2026,삼성SDI,"삼성SDI, 7개 분기 만에 영업이익 흑자 전환",2026-07-30,https://news.samsungsdi.com/global/press/view?seq=440,"삼성SDI는 2026년 2분기 매출 3조7700억원, 영업이익 2038억원을 기록했다. 매출은 전년 동기 대비 18.5%, 전 분기 대비 5.4% 증가했고, 영업이익은 7개 분기 만에 흑자로 전환했다."
naver_q1_2026,네이버,"네이버, 2026년 1분기 매출 16.3% 증가",2026-04-30,https://www.navercorp.com/en/media/pressReleasesDetail?seq=10034270,"네이버는 2026년 1분기 매출 3조2411억원, 영업이익 5418억원을 기록했다. 매출은 전년 동기 대비 16.3%, 영업이익은 7.2% 증가했으며 광고와 커머스 등 핵심 사업의 AI 적용이 성장에 기여했다."
naver_nvidia_2026,네이버,"엔비디아, 네이버 AI 인프라 프로젝트에 투자 추진",2026-07-27,https://www.wsj.com/tech/ai/nvidia-to-invest-1-billion-in-navers-ai-project-167e25de,"엔비디아는 네이버의 대규모 AI 데이터센터 프로젝트에 약 10억달러를 투자할 계획이다. 네이버는 엔비디아를 대상으로 약 1조4810억원 규모의 신주를 발행하며, 거래 완료 후 엔비디아의 지분율은 약 4.5%가 될 예정이다."
kb_h1_2026,KB금융,"KB금융, 2026년 상반기 순이익 증가",2026-07-23,https://www.kbfg.com/eng/ir/mgt-performance/list.jsp,KB금융은 2026년 상반기 실적 발표 자료를 공개했다. 외부 보도에 따르면 상반기 순이익은 3조8846억원으로 전년 동기 대비 13.1% 증가했다.
shinhan_q2_2026,신한금융,"신한금융, 2026년 2분기 분기 최대 순이익",2026-07-23,https://www.mk.co.kr/en/economy/12105372,신한금융의 2026년 2분기 순이익은 1조8201억원으로 전 분기 대비 12.2% 증가했다. 상반기 순이익은 3조4427억원으로 전년 동기 대비 13.3% 늘었다.
